new_tests,new_people_vaccinated_smoothed,new_deaths_per_million,new_cases,people_fully_vaccinated,total_deaths_per_million,people_fully_vaccinated_per_hundred,reproduction_rate,total_boosters,new_people_vaccinated_smoothed_per_hundred,total_cases_per_million,new_cases_smoothed_per_million,new_tests_smoothed,people_vaccinated_per_hundred,new_vaccinations_smoothed,people_vaccinated,total_tests,new_deaths,total_tests_per_thousand,new_tests_smoothed_per_thousand,stringency_index,new_tests_per_thousand,tests_per_case,icu_patients,new_cases_smoothed,total_deaths,new_vaccinations_smoothed_per_million,positive_rate,total_vaccinations_per_hundred,total_cases,total_boosters_per_hundred,new_cases_per_million,total_vaccinations,new_vaccinations,new_deaths_smoothed,new_deaths_smoothed_per_million
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0769808306709263,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0769808306709263,0.0,0.0,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.047,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0769808306709263,0.0,0.0,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0769808306709263,0.0,0.0,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.012,0.0,0.0,0.0,0.0
0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0769808306709263,0.0,0.0,0.212,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.78,0.0,0.0,0.0,2.571,0.0,0.0,0.0,0.0,18.0,0.0,0.141,0.0,0.0,0.0,0.0
0.0,0.0,0.012,29.0,0.0,0.012,0.0,1.0769808306709263,0.0,0.0,0.5529999999999999,0.079,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,52.78,0.0,0.0,0.0,6.714,1.0,0.0,0.0,0.0,47.0,0.0,0.341,0.0,0.0,0.14300000000000002,0.002
0.0,0.0,0.0,51.0,0.0,0.012,0.0,1.0769808306709263,0.0,0.0,1.152,0.163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33,0.0,0.0,0.0,13.857,1.0,0.0,0.0,0.0,98.0,0.0,0.6,0.0,0.0,0.14300000000000002,0.002
0.0,0.0,0.024,94.0,0.0,0.035,0.0,1.0769808306709263,0.0,0.0,2.258,0.321,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,58.33,0.0,0.0,0.0,27.286,3.0,0.0,0.0,0.0,192.0,0.0,1.105,0.0,0.0,0.429,0.005
0.0,0.0,0.012,167.0,0.0,0.047,0.0,5.23,0.0,0.0,4.221,0.595,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,58.33,0.0,0.0,0.0,50.57100000000001,4.0,0.0,0.0,0.0,359.0,0.0,1.964,0.0,0.0,0.5710000000000001,0.006999999999999999
0.0,0.0,0.059,311.0,0.0,0.106,0.0,5.19,0.0,0.0,7.877999999999999,1.117,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,62.04,0.0,0.0,0.0,95.0,9.0,0.0,0.0,0.0,670.0,0.0,3.657,0.0,0.0,1.286,0.015
0.0,0.0,0.247,566.0,0.0,0.353,0.0,4.8,0.0,0.0,14.534,2.066,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,62.04,0.0,0.0,0.0,175.71400000000003,30.0,0.0,0.0,0.0,1236.0,0.0,6.655,0.0,0.0,4.2860000000000005,0.05
0.0,0.0,0.08199999999999999,293.0,0.0,0.435,0.0,4.03,0.0,0.0,17.979,2.5380000000000003,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,62.04,0.0,0.0,0.0,215.857,37.0,0.0,0.0,0.0,1529.0,0.0,3.445,0.0,0.0,5.2860000000000005,0.062
0.0,0.0,0.08199999999999999,343.0,0.0,0.517,0.0,3.61,0.0,0.0,22.012,3.0660000000000003,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,67.59,0.0,0.0,0.0,260.714,44.0,0.0,0.0,0.0,1872.0,0.0,4.033,0.0,0.0,6.143,0.07200000000000001
0.0,0.0,0.17600000000000002,561.0,0.0,0.6940000000000001,0.0,3.58,0.0,0.0,28.609,3.922,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,67.59,0.0,0.0,0.0,333.571,59.0,0.0,0.0,0.0,2433.0,0.0,6.597,0.0,0.0,8.286,0.097
0.0,0.0,0.188,1196.0,0.0,0.882,0.0,3.69,0.0,0.0,42.673,5.774,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,67.59,0.0,0.0,0.0,491.0,75.0,0.0,0.0,0.0,3629.0,0.0,14.064,0.0,0.0,10.286,0.121
7533.0,0.0,0.2,2069.0,0.0,1.082,0.0,3.56,0.0,0.0,67.002,8.969,0.0,0.0,0.0,0.0,7533.0,17.0,0.08900000000000001,0.0,70.37,0.08900000000000001,0.0,0.0,762.7139999999998,92.0,0.0,0.0,0.0,5698.0,0.0,24.329,0.0,0.0,12.571,0.14800000000000002
7641.0,0.0,0.188,1704.0,0.0,1.27,0.0,3.06,0.0,0.0,87.039,11.309,0.0,0.0,0.0,0.0,15174.0,16.0,0.17800000000000002,0.0,75.93,0.09,0.0,0.0,961.714,108.0,0.0,0.0,0.0,7402.0,0.0,20.037,0.0,0.0,14.143,0.166
9982.0,0.0,0.27,1815.0,0.0,1.54,0.0,2.69,0.0,0.0,108.381,13.407,0.0,0.0,0.0,0.0,25156.0,23.0,0.29600000000000004,0.0,75.93,0.117,0.0,0.0,1140.143,131.0,0.0,0.0,0.0,9217.0,0.0,21.342,0.0,0.0,14.429,0.17
11535.0,0.0,0.435,1610.0,0.0,1.975,0.0,2.53,0.0,0.0,127.312,15.619000000000002,0.0,0.0,0.0,0.0,36691.0,37.0,0.431,0.0,75.93,0.136,0.0,0.0,1328.286,168.0,0.0,0.0,0.0,10827.0,0.0,18.932,0.0,0.0,18.714,0.22
15422.0,0.0,0.541,2704.0,0.0,2.516,0.0,2.38,0.0,0.0,159.108,19.585,0.0,0.0,0.0,0.0,52113.0,46.0,0.613,0.0,75.93,0.181,0.0,0.0,1665.571,214.0,0.0,0.0,0.0,13531.0,0.0,31.796,0.0,0.0,24.286,0.28600000000000003
14396.0,0.0,0.741,2148.0,0.0,3.257,0.0,2.1,0.0,0.0,184.366,22.251,0.0,0.0,0.0,0.0,66509.0,63.0,0.782,0.0,75.93,0.16899999999999998,0.0,0.0,1892.286,277.0,0.0,0.0,0.0,15679.0,0.0,25.258000000000006,0.0,0.0,31.143,0.366
18757.0,0.0,0.929,2456.0,0.0,4.186,0.0,1.87,0.0,0.0,213.246,24.368,0.0,0.0,0.0,0.0,85266.0,79.0,1.003,0.0,75.93,0.221,0.0,0.0,2072.286,356.0,0.0,0.0,0.0,18135.0,0.0,28.88,0.0,0.0,40.143,0.472
16160.0,0.0,0.8109999999999999,2786.0,0.0,4.997,0.0,1.73,0.0,0.0,246.006,25.572,13413.0,0.0,0.0,0.0,101426.0,69.0,1.193,0.158,75.93,0.19,6.2,0.0,2174.714,425.0,0.0,0.1621,0.0,20921.0,0.0,32.76,0.0,0.0,47.57100000000001,0.5589999999999999
19664.0,0.0,0.894,3013.0,0.0,5.891,0.0,1.7,0.0,0.0,281.435,27.771,15131.0,0.0,0.0,0.0,121090.0,76.0,1.4240000000000002,0.17800000000000002,75.93,0.231,6.4,0.0,2361.714,501.0,0.0,0.1561,0.0,23934.0,0.0,35.429,0.0,0.0,56.143,0.66
20065.0,0.0,0.858,3135.0,0.0,6.75,0.0,1.69,0.0,0.0,318.2990000000001,29.988000000000003,16571.0,0.0,0.0,0.0,141155.0,73.0,1.66,0.195,75.93,0.236,6.5,0.0,2550.286,574.0,0.0,0.1539,0.0,27069.0,0.0,36.864,0.0,0.0,63.286,0.7440000000000001
21400.0,0.0,0.882,3148.0,0.0,7.631,0.0,1.76,0.0,0.0,355.315,32.572,17981.0,0.0,0.0,0.0,162555.0,75.0,1.911,0.211,75.93,0.252,6.5,0.0,2770.0,649.0,0.0,0.1541,0.0,30217.0,0.0,37.017,0.0,0.0,68.714,0.8079999999999999
20023.0,0.0,0.894,3892.0,0.0,8.525,0.0,1.73,0.0,0.0,401.081,34.567,18638.0,0.0,0.0,0.0,182578.0,76.0,2.147,0.219,75.93,0.235,6.3,0.0,2939.7140000000004,725.0,0.0,0.1577,0.0,34109.0,0.0,45.765,0.0,0.0,73.0,0.858
24900.0,0.0,1.023,4117.0,0.0,9.548,0.0,1.66,0.0,0.0,449.492,37.875,20138.0,0.0,0.0,0.0,207478.0,87.0,2.44,0.237,75.93,0.293,6.3,0.0,3221.0,812.0,0.0,0.1599,0.0,38226.0,0.0,48.411,0.0,0.0,76.429,0.899
28578.0,0.0,1.129,4056.0,0.0,10.677,0.0,1.52,0.0,0.0,497.185,40.563,21541.0,0.0,0.0,0.0,236056.0,96.0,2.776,0.253,75.93,0.336,6.2,0.0,3449.571,908.0,0.0,0.1601,0.0,42282.0,0.0,47.694,0.0,0.0,78.857,0.927
30864.0,0.0,1.152,4747.0,0.0,11.829,0.0,1.44,0.0,0.0,553.004,43.857,23642.0,0.0,0.0,0.0,266920.0,98.0,3.139,0.278,75.93,0.363,6.3,0.0,3729.714,1006.0,0.0,0.1578,0.0,47029.0,0.0,55.819,0.0,0.0,83.0,0.976
33170.0,0.0,1.117,5138.0,0.0,12.946,0.0,1.42,0.0,0.0,613.4209999999998,47.427,25571.0,0.0,0.0,0.0,300090.0,95.0,3.529,0.301,77.78,0.39,6.3,0.0,4033.286,1101.0,0.0,0.1577,0.0,52167.0,0.0,60.417,0.0,0.0,85.714,1.008
35720.0,0.0,1.141,4789.0,0.0,14.087,0.0,1.37,0.0,0.0,669.7339999999998,50.205,27808.0,0.0,0.0,0.0,335810.0,97.0,3.949,0.327,77.78,0.42,6.5,0.0,4269.571,1198.0,0.0,0.1535,0.0,56956.0,0.0,56.313,0.0,0.0,89.14299999999999,1.048
34456.0,0.0,1.152,4093.0,0.0,15.239,0.0,1.35,0.0,0.0,717.863,51.792,29673.0,0.0,0.0,0.0,370266.0,98.0,4.354,0.349,75.93,0.405,6.7,0.0,4404.571,1296.0,0.0,0.1484,0.0,61049.0,0.0,48.129,0.0,0.0,92.429,1.087
33070.0,0.0,1.258,4062.0,0.0,16.498,0.0,1.28,0.0,0.0,765.627,52.078,31537.0,0.0,0.0,0.0,403336.0,107.0,4.743,0.371,75.93,0.389,7.1,0.0,4428.857,1403.0,0.0,0.1404,0.0,65111.0,0.0,47.764,0.0,0.0,96.857,1.139
34090.0,0.0,1.352,4281.0,0.0,17.85,0.0,1.21,0.0,0.0,815.966,52.354,32850.0,0.0,0.0,0.0,437426.0,115.0,5.144,0.386,75.93,0.401,7.4,0.0,4452.286,1518.0,0.0,0.1355,0.0,69392.0,0.0,50.339,0.0,0.0,100.857,1.186
40427.0,0.0,1.47,4801.0,0.0,19.32,0.0,1.12,0.0,0.0,872.42,53.605,34542.0,0.0,0.0,0.0,477853.0,125.0,5.619,0.406,75.93,0.475,7.6,0.0,4558.714,1643.0,0.0,0.132,0.0,74193.0,0.0,56.45399999999999,0.0,0.0,105.0,1.235
40270.0,0.0,1.482,4353.0,0.0,20.801,0.0,1.03,0.0,0.0,923.606,52.94300000000001,35886.0,0.0,0.0,0.0,518123.0,126.0,6.093,0.422,75.93,0.474,8.0,0.0,4502.429,1769.0,0.0,0.1255,0.0,78546.0,0.0,51.18600000000001,0.0,0.0,109.0,1.2819999999999998
40520.0,0.0,1.423,3783.0,0.0,22.224,0.0,1.0,0.0,0.0,968.09,50.667,36936.0,0.0,0.0,0.0,558643.0,121.0,6.569,0.434,77.78,0.476,8.6,0.0,4308.857,1890.0,0.0,0.1167,0.0,82329.0,0.0,44.484,0.0,0.0,112.714,1.325
35344.0,0.0,1.493,3977.0,0.0,23.717,0.0,1.03,0.0,0.0,1014.854,49.303,36882.0,0.0,0.0,0.0,593987.0,127.0,6.985,0.434,77.78,0.416,8.8,0.0,4192.857,2017.0,0.0,0.1137,0.0,86306.0,0.0,46.765,0.0,0.0,117.0,1.376
39703.0,0.0,1.446,4674.0,0.0,25.164,0.0,1.09,0.0,0.0,1069.815,50.279,37632.0,0.0,0.0,0.0,633690.0,123.0,7.451,0.443,75.93,0.467,8.8,0.0,4275.857,2140.0,0.0,0.1136,0.0,90980.0,0.0,54.96100000000001,0.0,0.0,120.571,1.418
39429.0,0.0,1.399,4611.0,0.0,26.563,0.0,1.04,0.0,0.0,1124.035,51.201,38540.0,0.0,0.0,0.0,673119.0,119.0,7.915,0.453,75.93,0.464,8.9,0.0,4354.286,2259.0,0.0,0.113,0.0,95591.0,0.0,54.22,0.0,0.0,122.286,1.4380000000000002
37535.0,0.0,1.376,3083.0,0.0,27.939,0.0,0.91,0.0,0.0,1160.287,49.18899999999999,39033.0,0.0,0.0,0.0,710654.0,117.0,8.356,0.459,75.93,0.441,9.3,0.0,4183.143,2376.0,0.0,0.1072,0.0,98674.0,0.0,36.252,0.0,0.0,122.571,1.4409999999999998
40962.0,0.0,1.352,3116.0,0.0,29.291,0.0,0.8,0.0,0.0,1196.928,46.358,39109.0,0.0,0.0,0.0,751616.0,115.0,8.838,0.46,75.93,0.482,9.9,0.0,3942.429,2491.0,0.0,0.1008,0.0,101790.0,0.0,36.64,0.0,0.0,121.143,1.4240000000000002
38351.0,0.0,1.2819999999999998,3122.0,0.0,30.573,0.0,0.74,0.0,0.0,1233.639,44.29,38835.0,0.0,0.0,0.0,789967.0,109.0,9.289,0.457,75.93,0.451,10.3,0.0,3766.571,2600.0,0.0,0.097,0.0,104912.0,0.0,36.711,0.0,0.0,118.714,1.396
38308.0,0.0,1.246,2861.0,0.0,31.819000000000006,0.0,0.73,0.0,0.0,1267.28,42.742,38519.0,0.0,0.0,0.0,828275.0,106.0,9.74,0.453,75.93,0.45,10.6,0.0,3634.857,2706.0,0.0,0.0944,0.0,107773.0,0.0,33.642,0.0,0.0,116.571,1.371
30177.0,0.0,1.164,2357.0,0.0,32.983000000000004,0.0,0.74,0.0,0.0,1294.996,40.02,37781.0,0.0,0.0,0.0,858452.0,99.0,10.094,0.444,75.93,0.355,11.1,0.0,3403.429,2805.0,0.0,0.0901,0.0,110130.0,0.0,27.715,0.0,0.0,112.571,1.324
20143.0,0.0,1.117,2131.0,0.0,34.101,0.0,0.78,0.0,0.0,1320.054,35.74800000000001,34986.0,0.0,0.0,0.0,878595.0,95.0,10.331,0.411,75.93,0.237,11.5,0.0,3040.143,2900.0,0.0,0.0869,0.0,112261.0,0.0,25.058000000000003,0.0,0.0,108.571,1.277
29230.0,0.0,1.082,2392.0,0.0,35.181999999999995,0.0,0.8,0.0,0.0,1348.181,32.021,33529.0,0.0,0.0,0.0,907825.0,92.0,10.675,0.394,75.93,0.344,12.3,0.0,2723.143,2992.0,0.0,0.0812,0.0,114653.0,0.0,28.127,0.0,0.0,104.714,1.231
43498.0,0.0,1.047,2936.0,0.0,36.229,0.0,0.8,0.0,0.0,1382.705,31.774,34381.0,0.0,0.0,0.0,951323.0,89.0,11.186,0.404,75.93,0.511,12.7,0.0,2702.143,3081.0,0.0,0.0786,0.0,117589.0,0.0,34.524,0.0,0.0,100.714,1.1840000000000002
42004.0,0.0,1.094,2615.0,0.0,37.322,0.0,0.75,0.0,0.0,1413.454,30.932,34530.0,0.0,0.0,0.0,993327.0,93.0,11.68,0.406,75.93,0.494,13.1,0.0,2630.571,3174.0,0.0,0.0762,0.0,120204.0,0.0,30.749,0.0,0.0,97.571,1.147
41431.0,0.0,0.988,2188.0,0.0,38.31,0.0,0.69,0.0,0.0,1439.182,29.363000000000003,34970.0,0.0,0.0,0.0,1034758.0,84.0,12.168,0.411,75.93,0.487,14.0,0.0,2497.143,3258.0,0.0,0.0714,0.0,122392.0,0.0,25.728,0.0,0.0,94.0,1.105
36318.0,0.0,0.917,1983.0,0.0,39.227,0.0,0.68,0.0,0.0,1462.5,27.888,34686.0,0.0,0.0,0.0,1071076.0,78.0,12.595,0.408,75.93,0.4270000000000001,14.6,0.0,2371.714,3336.0,0.0,0.0684,0.0,124375.0,0.0,23.318,0.0,0.0,90.0,1.058
