aged_70_older,PrivateGatheringRestrictions,B.1.427/B.1.429,new_tests_smoothed_per_thousand,ClosPubAnyPartial,weekly_icu_admissions,new_tests_per_thousand,people_vaccinated,total_vaccinations_per_hundred,WorkplaceClosures,BanOnAllEvents,StayHomeRiskG,AT.1,OutdoorOver500,EntertainmentVenues,HotelsOtherAccommodationPartial,ClosDaycare,B.1.525,AdaptationOfWorkplacePartial,new_vaccinations,new_deaths_smoothed_per_million,B.1.1.7+E484K,RestaurantsCafesPartial,IndoorOver50,SocialCircle,B.1.640,C.1.2,hosp_patients_per_million,StayHomeGen,cardiovasc_death_rate,C.37,P.3,B.1.617.2,B.1.351,diabetes_prevalence,people_fully_vaccinated,population_density,B.1.617.3,MassGatherAllPartial,new_deaths,StayHomeOrderPartial,StayHomeRiskGPartial,total_boosters_per_hundred,new_tests,ClosSec,AY.4.2,OutdoorOver100,HotelsOtherAccommodation,weekly_hosp_admissions_per_million,people_vaccinated_per_hundred,stringency_index,IndoorOver1000,UNK,MasksVoluntaryAllSpaces,GymsSportsCentresPartial,icu_patients,IndoorOver500,gdp_per_capita,MasksMandatoryAllSpacesPartial,new_cases,life_expectancy,RestaurantsCafes,AdaptationOfWorkplace,ClosHigh,GymsSportsCentres,Teleworking,MassGather50,total_deaths,RegionalStayHomeOrder,MasksMandatoryClosedSpacesPartial,new_vaccinations_smoothed,total_vaccinations,people_fully_vaccinated_per_hundred,P.1,MassGather50Partial,total_boosters,IndoorOver100,MasksVoluntaryAllSpacesPartial,B.1.617.1,total_tests,MasksMandatoryClosedSpaces,new_deaths_per_million,total_cases_per_million,new_vaccinations_smoothed_per_million,B.1.617,RegionalStayHomeOrderPartial,hosp_patients,PlaceOfWorship,QuarantineForInternationalTravellersPartial,PlaceOfWorshipPartial,B.1.526,SocialCirclePartial,OutdoorOver50,female_smokers,ClosPrimPartial,weekly_hosp_admissions,total_tests_per_thousand,weekly_icu_admissions_per_million,B.1.620,ClosPrim,NonEssentialShopsPartial,handwashing_facilities,BanOnAllEventsPartial,EntertainmentVenuesPartial,male_smokers,aged_65_older,new_tests_smoothed,QuarantineForInternationalTravellers,total_cases,MasksVoluntaryClosedSpaces,B.1.621,MasksVoluntaryClosedSpacesPartial,Other,SGTF,median_age,MasksMandatoryAllSpaces,NonEssentialShops,human_development_index,ClosSecPartial,B.1.1.529,ClosureOfPublicTransport,positive_rate,ClosureOfPublicTransportPartial,new_people_vaccinated_smoothed_per_hundred,hospital_beds_per_thousand,ClosHighPartial,B.1.1.7,B.1.616,ClosPubAny,tests_per_case,icu_patients_per_million,total_deaths_per_million,TeleworkingPartial,new_people_vaccinated_smoothed,WorkplaceClosuresPartial,new_deaths_smoothed,MassGatherAll,population,OutdoorOver1000,reproduction_rate,StayHomeGenPartial,PrivateGatheringRestrictionsPartial,extreme_poverty,ClosDaycarePartial,StayHomeOrder
15.957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.139,0.0,0.0,0.0,0.0,8.31,0.0,237.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0,45229.245,0.0,1.0,81.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.1,21.453,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,46.6,0.0,0.0,0.947,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83900471.0,0.0,1.1184937888198756,0.0,0.0,0.0,0.0,0.0
15.957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.139,0.0,0.0,0.0,0.0,8.31,0.0,237.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0,45229.245,0.0,3.0,81.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.1,21.453,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,46.6,0.0,0.0,0.947,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83900471.0,0.0,1.1184937888198756,0.0,0.0,0.0,0.0,0.0
15.957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.139,0.0,0.0,0.0,0.0,8.31,0.0,237.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0,45229.245,0.0,0.0,81.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.1,21.453,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,46.6,0.0,0.0,0.947,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83900471.0,0.0,1.1184937888198756,0.0,0.0,0.0,0.0,0.0
15.957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.139,0.0,0.0,0.0,0.0,8.31,0.0,237.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0,45229.245,0.0,0.0,81.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.1,21.453,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,46.6,0.0,0.0,0.947,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83900471.0,0.0,1.1184937888198756,0.0,0.0,0.0,0.0,0.0
15.957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.139,0.0,0.0,0.0,0.0,8.31,0.0,237.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0,45229.245,0.0,1.0,81.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.1,21.453,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,46.6,0.0,0.0,0.947,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83900471.0,0.0,1.1184937888198756,0.0,0.0,0.0,0.0,0.0
15.957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.139,0.0,0.0,0.0,0.0,8.31,0.0,237.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0,45229.245,0.0,3.0,81.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.1,21.453,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,46.6,0.0,0.0,0.947,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83900471.0,0.0,1.1184937888198756,0.0,0.0,0.0,0.0,0.0
15.957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.139,0.0,0.0,0.0,0.0,8.31,0.0,237.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0,45229.245,0.0,2.0,81.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.1,21.453,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,46.6,0.0,0.0,0.947,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83900471.0,0.0,1.1184937888198756,0.0,0.0,0.0,0.0,0.0
15.957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.139,0.0,0.0,0.0,0.0,8.31,0.0,237.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0,45229.245,0.0,2.0,81.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.1,21.453,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,46.6,0.0,0.0,0.947,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83900471.0,0.0,1.1184937888198756,0.0,0.0,0.0,0.0,0.0
15.957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.139,0.0,0.0,0.0,0.0,8.31,0.0,237.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0,45229.245,0.0,0.0,81.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.1,21.453,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,46.6,0.0,0.0,0.947,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83900471.0,0.0,1.1184937888198756,0.0,0.0,0.0,0.0,0.0
15.957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.139,0.0,0.0,0.0,0.0,8.31,0.0,237.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0,45229.245,0.0,0.0,81.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.1,21.453,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,46.6,0.0,0.0,0.947,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83900471.0,0.0,1.1184937888198756,0.0,0.0,0.0,0.0,0.0
