new_tests_per_thousand,new_tests_smoothed,total_deaths_per_million,aged_65_older,population_density,people_fully_vaccinated,new_deaths_per_million,new_tests_smoothed_per_thousand,new_people_vaccinated_smoothed_per_hundred,total_tests_per_thousand,new_deaths_smoothed_per_million,hospital_beds_per_thousand,new_cases,total_vaccinations_per_hundred,people_vaccinated_per_hundred,reproduction_rate,total_vaccinations,new_vaccinations,people_fully_vaccinated_per_hundred,total_tests,people_vaccinated,new_deaths_smoothed,tests_per_case,total_cases_per_million,life_expectancy,new_people_vaccinated_smoothed,gdp_per_capita,total_cases,positive_rate,new_deaths,stringency_index,total_deaths,new_tests,new_vaccinations_smoothed,new_vaccinations_smoothed_per_million
0.0,0.0,0.0,27.049,347.778,0.0,0.0,0.0,0.0,0.0,0.0,13.05,0.0,0.0,0.0,1.0337212863705978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,84.63,0.0,39002.223,2.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0
0.0,0.0,0.0,27.049,347.778,0.0,0.0,0.0,0.0,0.0,0.0,13.05,0.0,0.0,0.0,1.0337212863705978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,84.63,0.0,39002.223,2.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0
0.0,0.0,0.0,27.049,347.778,0.0,0.0,0.0,0.0,0.0,0.0,13.05,0.0,0.0,0.0,1.0337212863705978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,84.63,0.0,39002.223,2.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0
0.0,0.0,0.0,27.049,347.778,0.0,0.0,0.0,0.0,0.0,0.0,13.05,0.0,0.0,0.0,1.0337212863705978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,84.63,0.0,39002.223,4.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0
0.0,0.0,0.0,27.049,347.778,0.0,0.0,0.0,0.0,0.0,0.0,13.05,2.0,0.0,0.0,1.0337212863705978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,84.63,0.0,39002.223,4.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0
0.0,0.0,0.0,27.049,347.778,0.0,0.0,0.0,0.0,0.0,0.0,13.05,0.0,0.0,0.0,1.0337212863705978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,84.63,0.0,39002.223,7.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0
0.0,0.0,0.0,27.049,347.778,0.0,0.0,0.0,0.0,0.0,0.0,13.05,3.0,0.0,0.0,1.0337212863705978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,84.63,0.0,39002.223,7.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0
0.0,0.0,0.0,27.049,347.778,0.0,0.0,0.0,0.0,0.0,0.0,13.05,0.0,0.0,0.0,1.0337212863705978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.087,84.63,0.0,39002.223,11.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0
0.0,0.0,0.0,27.049,347.778,0.0,0.0,0.0,0.0,0.0,0.0,13.05,4.0,0.0,0.0,1.0337212863705978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119,84.63,0.0,39002.223,15.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0
0.0,0.0,0.0,27.049,347.778,0.0,0.0,0.0,0.0,0.0,0.0,13.05,4.0,0.0,0.0,1.0337212863705978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159,84.63,0.0,39002.223,20.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0
0.0,0.0,0.0,27.049,347.778,0.0,0.0,0.0,0.0,0.0,0.0,13.05,5.0,0.0,0.0,1.0337212863705978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159,84.63,0.0,39002.223,20.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0
0.0,0.0,0.0,27.049,347.778,0.0,0.0,0.0,0.0,0.0,0.0,13.05,0.0,0.0,0.0,1.0337212863705978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159,84.63,0.0,39002.223,20.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0
0.0,0.0,0.0,27.049,347.778,0.0,0.0,0.0,0.0,0.0,0.0,13.05,0.0,0.0,0.0,1.0337212863705978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175,84.63,0.0,39002.223,22.0,0.0,0.0,19.44,0.0,0.0,0.0,0.0
0.0,0.0,0.0,27.049,347.778,0.0,0.0,0.0,0.0,0.0,0.0,13.05,2.0,0.0,0.0,1.0337212863705978,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.182,84.63,0.0,39002.223,23.0,0.0,0.0,19.44,0.0,4.0,0.0,0.0
0.0,0.0,0.0,27.049,347.778,0.0,0.0,0.0,0.0,0.0,0.0,13.05,1.0,0.0,0.0,1.0337212863705978,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.182,84.63,0.0,39002.223,23.0,0.0,0.0,19.44,0.0,19.0,0.0,0.0
0.0,0.0,0.0,27.049,347.778,0.0,0.0,0.0,0.0,0.0,0.0,13.05,0.0,0.0,0.0,1.0337212863705978,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.182,84.63,0.0,39002.223,23.0,0.0,0.0,19.44,0.0,9.0,0.0,0.0
0.0,0.0,0.0,27.049,347.778,0.0,0.0,0.0,0.0,0.0,0.0,13.05,0.0,0.0,0.0,1.0337212863705978,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.19,84.63,0.0,39002.223,24.0,0.0,0.0,19.44,0.0,4.0,0.0,0.0
0.0,0.0,0.0,27.049,347.778,0.0,0.0,0.0,0.0,0.0,0.0,13.05,1.0,0.0,0.0,1.0337212863705978,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.19,84.63,0.0,39002.223,24.0,0.0,0.0,19.44,0.0,10.0,0.0,0.0
0.0,0.0,0.0,27.049,347.778,0.0,0.0,0.0,0.0,0.0,0.0,13.05,0.0,0.0,0.0,1.0337212863705978,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.206,84.63,0.0,39002.223,26.0,0.0,0.0,19.44,0.0,12.0,0.0,0.0
0.0,0.0,0.0,27.049,347.778,0.0,0.0,0.0,0.0,0.0,0.0,13.05,2.0,0.0,0.0,1.0337212863705978,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.214,84.63,0.0,39002.223,27.0,0.0,0.0,19.44,0.0,4.0,0.0,0.0
0.0,10.0,0.0,27.049,347.778,0.0,0.0,0.0,0.0,0.001,0.0,13.05,1.0,0.0,0.0,1.0337212863705978,0.0,0.0,0.0,72.0,0.0,0.0,14.0,0.222,84.63,0.0,39002.223,28.0,0.0714,0.0,19.44,0.0,10.0,0.0,0.0
0.0,9.0,0.008,27.049,347.778,0.0,0.008,0.0,0.0,0.001,0.001,13.05,1.0,0.0,0.0,1.0337212863705978,0.0,0.0,0.0,88.0,0.0,0.14300000000000002,6.3,0.262,84.63,0.0,39002.223,33.0,0.1588,1.0,19.44,1.0,16.0,0.0,0.0
0.0,14.0,0.008,27.049,347.778,0.0,0.0,0.0,0.0,0.001,0.001,13.05,5.0,0.0,0.0,1.0337212863705978,0.0,0.0,0.0,131.0,0.0,0.14300000000000002,4.9,0.341,84.63,0.0,39002.223,43.0,0.2041,0.0,19.44,1.0,43.0,0.0,0.0
0.001,26.0,0.008,27.049,347.778,0.0,0.0,0.0,0.0,0.002,0.001,13.05,10.0,0.0,0.0,1.0337212863705978,0.0,0.0,0.0,217.0,0.0,0.14300000000000002,6.1,0.428,84.63,0.0,39002.223,54.0,0.1648,0.0,19.44,1.0,86.0,0.0,0.0
