new_tests_per_thousand,new_tests_smoothed,median_age,total_deaths_per_million,people_fully_vaccinated,new_deaths_per_million,new_tests_smoothed_per_thousand,new_people_vaccinated_smoothed_per_hundred,total_tests_per_thousand,new_deaths_smoothed_per_million,weekly_hosp_admissions_per_million,total_vaccinations_per_hundred,people_vaccinated_per_hundred,reproduction_rate,weekly_hosp_admissions,total_vaccinations,new_vaccinations,people_fully_vaccinated_per_hundred,total_tests,people_vaccinated,new_deaths_smoothed,tests_per_case,total_cases_per_million,life_expectancy,new_people_vaccinated_smoothed,total_cases,positive_rate,new_deaths,new_vaccinations_smoothed_per_million,stringency_index,total_deaths,new_tests,new_vaccinations_smoothed,new_cases
0.0,0.0,27.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0672089314194575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.13,0.0,0.0,0.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0
0.0,0.0,27.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0672089314194575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.13,0.0,0.0,0.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0
0.0,0.0,27.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0672089314194575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.13,0.0,0.0,0.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0
0.0,0.0,27.3,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,1.0672089314194575,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,64.13,0.0,0.0,0.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0
0.0,0.0,27.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0672089314194575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.13,0.0,0.0,0.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0
0.0,0.0,27.3,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,1.0672089314194575,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,64.13,0.0,0.0,0.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0
0.0,4.0,27.3,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,1.0672089314194575,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,64.13,0.0,0.0,0.0,0.0,0.0,2.78,0.0,4.0,0.0,0.0
0.0,4.0,27.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0672089314194575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.13,0.0,0.0,0.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0
0.0,4.0,27.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0672089314194575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.13,0.0,0.0,0.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0
0.0,4.0,27.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0672089314194575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.13,0.0,0.0,0.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0
