median_age,new_tests_per_thousand,total_boosters,new_tests_smoothed,cardiovasc_death_rate,total_deaths_per_million,aged_70_older,extreme_poverty,people_fully_vaccinated,new_deaths_per_million,new_tests_smoothed_per_thousand,new_people_vaccinated_smoothed_per_hundred,total_tests_per_thousand,new_deaths_smoothed_per_million,hospital_beds_per_thousand,total_boosters_per_hundred,male_smokers,total_vaccinations_per_hundred,people_vaccinated_per_hundred,reproduction_rate,new_vaccinations,total_vaccinations,diabetes_prevalence,people_fully_vaccinated_per_hundred,total_tests,people_vaccinated,new_deaths_smoothed,tests_per_case,total_cases_per_million,new_people_vaccinated_smoothed,total_cases,positive_rate,new_deaths,new_vaccinations_smoothed_per_million,stringency_index,total_deaths,new_vaccinations_smoothed,new_tests,new_cases
43.4,0.0,0.0,0.0,85.99799999999998,0.0,8.622,0.2,0.0,0.0,0.0,0.0,0.0,0.0,12.27,0.0,40.9,0.0,0.0,1.079908256880735,0.0,0.0,6.8,0.0,16.0,0.0,0.0,0.0,0.019,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
43.4,0.0,0.0,0.0,85.99799999999998,0.0,8.622,0.2,0.0,0.0,0.0,0.0,0.0,0.0,12.27,0.0,40.9,0.0,0.0,1.079908256880735,0.0,0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.019,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.4,0.0,0.0,0.0,85.99799999999998,0.0,8.622,0.2,0.0,0.0,0.0,0.0,0.0,0.0,12.27,0.0,40.9,0.0,0.0,1.079908256880735,0.0,0.0,6.8,0.0,25.0,0.0,0.0,0.0,0.039,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.4,0.0,0.0,0.0,85.99799999999998,0.0,8.622,0.2,0.0,0.0,0.0,0.0,0.0,0.0,12.27,0.0,40.9,0.0,0.0,1.079908256880735,0.0,0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.039,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
43.4,0.0,0.0,0.0,85.99799999999998,0.0,8.622,0.2,0.0,0.0,0.0,0.0,0.001,0.0,12.27,0.0,40.9,0.0,0.0,1.079908256880735,0.0,0.0,6.8,0.0,48.0,0.0,0.0,0.0,0.058,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.4,0.0,0.0,0.0,85.99799999999998,0.0,8.622,0.2,0.0,0.0,0.0,0.0,0.001,0.0,12.27,0.0,40.9,0.0,0.0,1.079908256880735,0.0,0.0,6.8,0.0,57.0,0.0,0.0,0.0,0.078,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0
43.4,0.003,0.0,25.0,85.99799999999998,0.0,8.622,0.2,0.0,0.0,0.0,0.0,0.004,0.0,12.27,0.0,40.9,0.0,0.0,1.079908256880735,0.0,0.0,6.8,0.0,187.0,0.0,0.0,58.3,0.078,0.0,4.0,0.0172,0.0,0.0,0.0,0.0,0.0,130.0,1.0
43.4,0.0,0.0,28.0,85.99799999999998,0.0,8.622,0.2,0.0,0.0,0.001,0.0,0.0,0.0,12.27,0.0,40.9,0.0,0.0,1.079908256880735,0.0,0.0,6.8,0.0,0.0,0.0,0.0,65.3,0.078,0.0,4.0,0.0153,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.4,0.0,0.0,32.0,85.99799999999998,0.0,8.622,0.2,0.0,0.0,0.001,0.0,0.005,0.0,12.27,0.0,40.9,0.0,0.0,1.079908256880735,0.0,0.0,6.8,0.0,244.0,0.0,0.0,74.6,0.078,0.0,4.0,0.0134,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.4,0.0,0.0,40.0,85.99799999999998,0.0,8.622,0.2,0.0,0.0,0.001,0.0,0.0,0.0,12.27,0.0,40.9,0.0,0.0,1.079908256880735,0.0,0.0,6.8,0.0,0.0,0.0,0.0,31.1,0.214,0.0,11.0,0.0322,0.0,0.0,2.78,0.0,0.0,0.0,0.0
