median_age,new_tests_per_thousand,total_boosters,new_tests_smoothed,hosp_patients_per_million,total_deaths_per_million,aged_70_older,population_density,people_fully_vaccinated,new_people_vaccinated_smoothed_per_hundred,new_tests_smoothed_per_thousand,total_tests_per_thousand,human_development_index,total_boosters_per_hundred,new_cases,new_cases_smoothed_per_million,icu_patients_per_million,new_cases_per_million,hosp_patients,total_vaccinations_per_hundred,people_vaccinated_per_hundred,new_cases_smoothed,reproduction_rate,new_vaccinations,total_vaccinations,diabetes_prevalence,people_fully_vaccinated_per_hundred,total_tests,people_vaccinated,tests_per_case,total_cases_per_million,new_people_vaccinated_smoothed,total_cases,positive_rate,new_deaths,stringency_index,total_deaths,new_vaccinations_smoothed,new_tests,icu_patients,new_vaccinations_smoothed_per_million
41.4,0.0,0.0,0.0,0.0,0.0,10.797,4.037,0.0,0.0,0.0,0.0,0.929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0773974763406935,0.0,0.0,7.37,0.0,0.0,0.0,0.0,0.026,0.0,1.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0,0.0
41.4,0.0,0.0,0.0,0.0,0.0,10.797,4.037,0.0,0.0,0.0,0.0,0.929,0.0,1.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0,1.0773974763406935,0.0,0.0,7.37,0.0,0.0,0.0,0.0,0.053,0.0,2.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0,0.0
41.4,0.0,0.0,0.0,0.0,0.0,10.797,4.037,0.0,0.0,0.0,0.0,0.929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0773974763406935,0.0,0.0,7.37,0.0,0.0,0.0,0.0,0.053,0.0,2.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0,0.0
41.4,0.0,0.0,0.0,0.0,0.0,10.797,4.037,0.0,0.0,0.0,0.0,0.929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0773974763406935,0.0,0.0,7.37,0.0,0.0,0.0,0.0,0.053,0.0,2.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0,0.0
41.4,0.0,0.0,0.0,0.0,0.0,10.797,4.037,0.0,0.0,0.0,0.0,0.929,0.0,2.0,0.015,0.0,0.053,0.0,0.0,0.0,0.5710000000000001,1.0773974763406935,0.0,0.0,7.37,0.0,0.0,0.0,0.0,0.105,0.0,4.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0,0.0
41.4,0.0,0.0,0.0,0.0,0.0,10.797,4.037,0.0,0.0,0.0,0.0,0.929,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.5710000000000001,1.0773974763406935,0.0,0.0,7.37,0.0,0.0,0.0,0.0,0.105,0.0,4.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0,0.0
41.4,0.0,0.0,0.0,0.0,0.0,10.797,4.037,0.0,0.0,0.0,0.0,0.929,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.429,1.0773974763406935,0.0,0.0,7.37,0.0,0.0,0.0,0.0,0.105,0.0,4.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0,0.0
41.4,0.0,0.0,0.0,0.0,0.0,10.797,4.037,0.0,0.0,0.0,0.0,0.929,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.429,1.0773974763406935,0.0,0.0,7.37,0.0,0.0,0.0,0.0,0.105,0.0,4.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0,0.0
41.4,0.0,0.0,0.0,0.0,0.0,10.797,4.037,0.0,0.0,0.0,0.0,0.929,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.28600000000000003,1.0773974763406935,0.0,0.0,7.37,0.0,0.0,0.0,0.0,0.105,0.0,4.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0,0.0
41.4,0.0,0.0,0.0,0.0,0.0,10.797,4.037,0.0,0.0,0.0,0.0,0.929,0.0,1.0,0.011,0.0,0.026,0.0,0.0,0.0,0.429,1.0773974763406935,0.0,0.0,7.37,0.0,0.0,0.0,0.0,0.131,0.0,5.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0,0.0
41.4,0.0,0.0,0.0,0.0,0.0,10.797,4.037,0.0,0.0,0.0,0.0,0.929,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.429,1.0773974763406935,0.0,0.0,7.37,0.0,0.0,0.0,0.0,0.131,0.0,5.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0,0.0
41.4,0.0,0.0,8.0,0.0,0.0,10.797,4.037,0.0,0.0,0.0,0.0,0.929,0.0,2.0,0.011,0.0,0.053,0.0,0.0,0.0,0.429,1.0773974763406935,0.0,0.0,7.37,0.0,0.0,0.0,18.6,0.184,0.0,7.0,0.0536,0.0,2.78,0.0,0.0,0.0,0.0,0.0
41.4,0.0,0.0,8.0,0.0,0.0,10.797,4.037,0.0,0.0,0.0,0.002,0.929,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.429,1.0773974763406935,0.0,0.0,7.37,0.0,63.0,0.0,18.6,0.184,0.0,7.0,0.0536,0.0,2.78,0.0,0.0,0.0,0.0,0.0
41.4,0.0,0.0,8.0,0.0,0.0,10.797,4.037,0.0,0.0,0.0,0.0,0.929,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.429,1.0773974763406935,0.0,0.0,7.37,0.0,0.0,0.0,18.6,0.184,0.0,7.0,0.0536,0.0,2.78,0.0,0.0,0.0,0.0,0.0
41.4,0.0,0.0,7.0,0.0,0.0,10.797,4.037,0.0,0.0,0.0,0.0,0.929,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.429,1.0773974763406935,0.0,0.0,7.37,0.0,0.0,0.0,16.3,0.184,0.0,7.0,0.0613,0.0,2.78,0.0,0.0,0.0,0.0,0.0
41.4,0.0,0.0,7.0,0.0,0.0,10.797,4.037,0.0,0.0,0.0,0.0,0.929,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.429,1.0773974763406935,0.0,0.0,7.37,0.0,0.0,0.0,16.3,0.184,0.0,7.0,0.0613,0.0,2.78,0.0,0.0,0.0,0.0,0.0
41.4,0.0,0.0,7.0,0.0,0.0,10.797,4.037,0.0,0.0,0.0,0.0,0.929,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.28600000000000003,1.0773974763406935,0.0,0.0,7.37,0.0,0.0,0.0,24.5,0.184,0.0,7.0,0.0409,0.0,2.78,0.0,0.0,0.0,0.0,0.0
41.4,0.0,0.0,6.0,0.0,0.0,10.797,4.037,0.0,0.0,0.0,0.0,0.929,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.28600000000000003,1.0773974763406935,0.0,0.0,7.37,0.0,0.0,0.0,21.0,0.184,0.0,7.0,0.0477,0.0,2.78,0.0,0.0,0.0,0.0,0.0
41.4,0.0,0.0,6.0,0.0,0.0,10.797,4.037,0.0,0.0,0.0,0.0,0.929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0773974763406935,0.0,0.0,7.37,0.0,0.0,0.0,0.0,0.184,0.0,7.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0,0.0
41.4,0.0,0.0,6.0,0.0,0.0,10.797,4.037,0.0,0.0,0.0,0.0,0.929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0773974763406935,0.0,0.0,7.37,0.0,0.0,0.0,0.0,0.184,0.0,7.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0,0.0
41.4,0.0,0.0,6.0,0.0,0.0,10.797,4.037,0.0,0.0,0.0,0.003,0.929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0773974763406935,0.0,0.0,7.37,0.0,109.0,0.0,0.0,0.184,0.0,7.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0,0.0
41.4,0.0,0.0,7.0,0.0,0.0,10.797,4.037,0.0,0.0,0.0,0.0,0.929,0.0,1.0,0.004,0.0,0.026,0.0,0.0,0.0,0.14300000000000002,1.0773974763406935,0.0,0.0,7.37,0.0,0.0,0.0,49.0,0.21,0.0,8.0,0.0204,0.0,2.78,0.0,0.0,0.0,0.0,0.0
41.4,0.0,0.0,7.0,0.0,0.0,10.797,4.037,0.0,0.0,0.0,0.0,0.929,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.14300000000000002,1.0773974763406935,0.0,0.0,7.37,0.0,0.0,0.0,49.0,0.21,0.0,8.0,0.0204,0.0,2.78,0.0,0.0,0.0,0.0,0.0
41.4,0.0,0.0,8.0,0.0,0.0,10.797,4.037,0.0,0.0,0.0,0.0,0.929,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.14300000000000002,1.0773974763406935,0.0,0.0,7.37,0.0,0.0,0.0,55.9,0.21,0.0,8.0,0.0179,0.0,2.78,0.0,0.0,0.0,0.0,0.0
