new_tests_per_thousand,new_tests_smoothed,cardiovasc_death_rate,total_deaths_per_million,aged_65_older,population_density,female_smokers,people_fully_vaccinated,new_tests_smoothed_per_thousand,new_people_vaccinated_smoothed_per_hundred,total_tests_per_thousand,new_cases_smoothed_per_million,male_smokers,new_cases_per_million,total_vaccinations_per_hundred,people_vaccinated_per_hundred,new_cases_smoothed,reproduction_rate,total_vaccinations,new_vaccinations,people_fully_vaccinated_per_hundred,total_tests,people_vaccinated,tests_per_case,total_cases_per_million,life_expectancy,new_people_vaccinated_smoothed,gdp_per_capita,total_cases,positive_rate,new_deaths,stringency_index,new_vaccinations_smoothed_per_million,total_deaths,new_tests,new_vaccinations_smoothed,new_cases
0.0,0.0,79.37,0.0,27.049,347.778,11.2,0.0,0.0,0.0,0.0,0.0,33.7,0.0,0.0,0.0,0.0,1.0337212863705978,0.0,0.0,0.0,0.0,0.0,0.0,0.016,84.63,0.0,39002.223,2.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0,0.0
0.0,0.0,79.37,0.0,27.049,347.778,11.2,0.0,0.0,0.0,0.0,0.0,33.7,0.0,0.0,0.0,0.0,1.0337212863705978,0.0,0.0,0.0,0.0,0.0,0.0,0.016,84.63,0.0,39002.223,2.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0,0.0
0.0,0.0,79.37,0.0,27.049,347.778,11.2,0.0,0.0,0.0,0.0,0.0,33.7,0.0,0.0,0.0,0.0,1.0337212863705978,0.0,0.0,0.0,0.0,0.0,0.0,0.016,84.63,0.0,39002.223,2.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0,0.0
0.0,0.0,79.37,0.0,27.049,347.778,11.2,0.0,0.0,0.0,0.0,0.0,33.7,0.016,0.0,0.0,0.0,1.0337212863705978,0.0,0.0,0.0,0.0,0.0,0.0,0.032,84.63,0.0,39002.223,4.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0,2.0
0.0,0.0,79.37,0.0,27.049,347.778,11.2,0.0,0.0,0.0,0.0,0.0,33.7,0.0,0.0,0.0,0.0,1.0337212863705978,0.0,0.0,0.0,0.0,0.0,0.0,0.032,84.63,0.0,39002.223,4.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0,0.0
0.0,0.0,79.37,0.0,27.049,347.778,11.2,0.0,0.0,0.0,0.0,0.006,33.7,0.024,0.0,0.0,0.7140000000000001,1.0337212863705978,0.0,0.0,0.0,0.0,0.0,0.0,0.056,84.63,0.0,39002.223,7.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0,3.0
0.0,0.0,79.37,0.0,27.049,347.778,11.2,0.0,0.0,0.0,0.0,0.006,33.7,0.0,0.0,0.0,0.7140000000000001,1.0337212863705978,0.0,0.0,0.0,0.0,0.0,0.0,0.056,84.63,0.0,39002.223,7.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0,0.0
0.0,0.0,79.37,0.0,27.049,347.778,11.2,0.0,0.0,0.0,0.0,0.01,33.7,0.032,0.0,0.0,1.286,1.0337212863705978,0.0,0.0,0.0,0.0,0.0,0.0,0.087,84.63,0.0,39002.223,11.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0,4.0
0.0,0.0,79.37,0.0,27.049,347.778,11.2,0.0,0.0,0.0,0.0,0.015,33.7,0.032,0.0,0.0,1.857,1.0337212863705978,0.0,0.0,0.0,0.0,0.0,0.0,0.119,84.63,0.0,39002.223,15.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0,4.0
0.0,0.0,79.37,0.0,27.049,347.778,11.2,0.0,0.0,0.0,0.0,0.02,33.7,0.04,0.0,0.0,2.571,1.0337212863705978,0.0,0.0,0.0,0.0,0.0,0.0,0.159,84.63,0.0,39002.223,20.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0,5.0
0.0,0.0,79.37,0.0,27.049,347.778,11.2,0.0,0.0,0.0,0.0,0.018000000000000002,33.7,0.0,0.0,0.0,2.286,1.0337212863705978,0.0,0.0,0.0,0.0,0.0,0.0,0.159,84.63,0.0,39002.223,20.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0,0.0
0.0,0.0,79.37,0.0,27.049,347.778,11.2,0.0,0.0,0.0,0.0,0.018000000000000002,33.7,0.0,0.0,0.0,2.286,1.0337212863705978,0.0,0.0,0.0,0.0,0.0,0.0,0.159,84.63,0.0,39002.223,20.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0,0.0
0.0,0.0,79.37,0.0,27.049,347.778,11.2,0.0,0.0,0.0,0.0,0.017,33.7,0.016,0.0,0.0,2.143,1.0337212863705978,0.0,0.0,0.0,0.0,0.0,0.0,0.175,84.63,0.0,39002.223,22.0,0.0,0.0,19.44,0.0,0.0,0.0,0.0,2.0
0.0,0.0,79.37,0.0,27.049,347.778,11.2,0.0,0.0,0.0,0.0,0.018000000000000002,33.7,0.008,0.0,0.0,2.286,1.0337212863705978,0.0,0.0,0.0,4.0,0.0,0.0,0.182,84.63,0.0,39002.223,23.0,0.0,0.0,19.44,0.0,0.0,4.0,0.0,1.0
0.0,0.0,79.37,0.0,27.049,347.778,11.2,0.0,0.0,0.0,0.0,0.014,33.7,0.0,0.0,0.0,1.714,1.0337212863705978,0.0,0.0,0.0,23.0,0.0,0.0,0.182,84.63,0.0,39002.223,23.0,0.0,0.0,19.44,0.0,0.0,19.0,0.0,0.0
0.0,0.0,79.37,0.0,27.049,347.778,11.2,0.0,0.0,0.0,0.0,0.009000000000000001,33.7,0.0,0.0,0.0,1.143,1.0337212863705978,0.0,0.0,0.0,32.0,0.0,0.0,0.182,84.63,0.0,39002.223,23.0,0.0,0.0,19.44,0.0,0.0,9.0,0.0,0.0
0.0,0.0,79.37,0.0,27.049,347.778,11.2,0.0,0.0,0.0,0.0,0.005,33.7,0.008,0.0,0.0,0.5710000000000001,1.0337212863705978,0.0,0.0,0.0,36.0,0.0,0.0,0.19,84.63,0.0,39002.223,24.0,0.0,0.0,19.44,0.0,0.0,4.0,0.0,1.0
0.0,0.0,79.37,0.0,27.049,347.778,11.2,0.0,0.0,0.0,0.0,0.005,33.7,0.0,0.0,0.0,0.5710000000000001,1.0337212863705978,0.0,0.0,0.0,46.0,0.0,0.0,0.19,84.63,0.0,39002.223,24.0,0.0,0.0,19.44,0.0,0.0,10.0,0.0,0.0
0.0,0.0,79.37,0.0,27.049,347.778,11.2,0.0,0.0,0.0,0.0,0.006999999999999999,33.7,0.016,0.0,0.0,0.857,1.0337212863705978,0.0,0.0,0.0,58.0,0.0,0.0,0.206,84.63,0.0,39002.223,26.0,0.0,0.0,19.44,0.0,0.0,12.0,0.0,2.0
0.0,0.0,79.37,0.0,27.049,347.778,11.2,0.0,0.0,0.0,0.0,0.006,33.7,0.008,0.0,0.0,0.7140000000000001,1.0337212863705978,0.0,0.0,0.0,62.0,0.0,0.0,0.214,84.63,0.0,39002.223,27.0,0.0,0.0,19.44,0.0,0.0,4.0,0.0,1.0
0.0,10.0,79.37,0.0,27.049,347.778,11.2,0.0,0.0,0.0,0.001,0.006,33.7,0.008,0.0,0.0,0.7140000000000001,1.0337212863705978,0.0,0.0,0.0,72.0,0.0,14.0,0.222,84.63,0.0,39002.223,28.0,0.0714,0.0,19.44,0.0,0.0,10.0,0.0,1.0
0.0,9.0,79.37,0.008,27.049,347.778,11.2,0.0,0.0,0.0,0.001,0.011,33.7,0.04,0.0,0.0,1.429,1.0337212863705978,0.0,0.0,0.0,88.0,0.0,6.3,0.262,84.63,0.0,39002.223,33.0,0.1588,0.0,19.44,0.0,1.0,16.0,0.0,5.0
0.0,14.0,79.37,0.008,27.049,347.778,11.2,0.0,0.0,0.0,0.001,0.023,33.7,0.079,0.0,0.0,2.857,1.0337212863705978,0.0,0.0,0.0,131.0,0.0,4.9,0.341,84.63,0.0,39002.223,43.0,0.2041,1.0,19.44,0.0,1.0,43.0,0.0,10.0
0.001,26.0,79.37,0.008,27.049,347.778,11.2,0.0,0.0,0.0,0.002,0.034,33.7,0.087,0.0,0.0,4.2860000000000005,1.0337212863705978,0.0,0.0,0.0,217.0,0.0,6.1,0.428,84.63,0.0,39002.223,54.0,0.1648,0.0,19.44,0.0,1.0,86.0,0.0,11.0
0.001,34.0,79.37,0.008,27.049,347.778,11.2,0.0,0.0,0.0,0.002,0.041,33.7,0.048,0.0,0.0,5.143,1.0337212863705978,0.0,0.0,0.0,282.0,0.0,6.6,0.476,84.63,0.0,39002.223,60.0,0.1513,0.0,19.44,0.0,1.0,65.0,0.0,6.0
0.001,48.0,79.37,0.008,27.049,347.778,11.2,0.0,0.0,0.0,0.003,0.046,33.7,0.056,0.0,0.0,5.857,1.0337212863705978,0.0,0.0,0.0,395.0,0.0,8.2,0.532,84.63,0.0,39002.223,67.0,0.122,0.0,19.44,0.0,1.0,113.0,0.0,7.0
0.0,49.0,79.37,0.016,27.049,347.778,11.2,0.0,0.0,0.0,0.003,0.059,33.7,0.095,0.0,0.0,7.4289999999999985,1.0337212863705978,0.0,0.0,0.0,404.0,0.0,6.6,0.627,84.63,0.0,39002.223,79.0,0.1516,0.0,19.44,0.0,2.0,9.0,0.0,12.0
0.001,58.0,79.37,0.016,27.049,347.778,11.2,0.0,0.0,0.0,0.004,0.065,33.7,0.048,0.0,0.0,8.142999999999999,1.0337212863705978,0.0,0.0,0.0,475.0,0.0,7.1,0.674,84.63,0.0,39002.223,85.0,0.1404,1.0,19.44,0.0,2.0,71.0,0.0,6.0
0.001,68.0,79.37,0.016,27.049,347.778,11.2,0.0,0.001,0.0,0.004,0.07,33.7,0.079,0.0,0.0,8.857000000000003,1.0337212863705978,0.0,0.0,0.0,565.0,0.0,7.7,0.754,84.63,0.0,39002.223,95.0,0.1302,0.0,25.0,0.0,2.0,90.0,0.0,10.0
0.001,74.0,79.37,0.016,27.049,347.778,11.2,0.0,0.001,0.0,0.005,0.078,33.7,0.135,0.0,0.0,9.857,1.0337212863705978,0.0,0.0,0.0,650.0,0.0,7.5,0.889,84.63,0.0,39002.223,112.0,0.1332,0.0,25.0,0.0,2.0,85.0,0.0,17.0
0.001,76.0,79.37,0.016,27.049,347.778,11.2,0.0,0.001,0.0,0.006,0.094,33.7,0.198,0.0,0.0,11.857,1.24,0.0,0.0,0.0,746.0,0.0,6.4,1.087,84.63,0.0,39002.223,137.0,0.156,0.0,25.0,0.0,2.0,96.0,0.0,25.0
0.0,72.0,79.37,0.016,27.049,347.778,11.2,0.0,0.001,0.0,0.006,0.101,33.7,0.095,0.0,0.0,12.714,1.15,0.0,0.0,0.0,785.0,0.0,5.7,1.182,84.63,0.0,39002.223,149.0,0.1766,0.0,25.0,0.0,2.0,39.0,0.0,12.0
0.001,71.0,79.37,0.016,27.049,347.778,11.2,0.0,0.001,0.0,0.006999999999999999,0.105,33.7,0.087,0.0,0.0,13.286,1.09,0.0,0.0,0.0,889.0,0.0,5.3,1.269,84.63,0.0,39002.223,160.0,0.1871,0.0,25.0,0.0,2.0,104.0,0.0,11.0
