new_tests_per_thousand,new_tests_smoothed,total_boosters,cardiovasc_death_rate,total_deaths_per_million,aged_65_older,aged_70_older,extreme_poverty,people_fully_vaccinated,female_smokers,new_tests_smoothed_per_thousand,new_people_vaccinated_smoothed_per_hundred,total_tests_per_thousand,hospital_beds_per_thousand,total_boosters_per_hundred,new_cases_smoothed_per_million,male_smokers,new_cases_per_million,total_vaccinations_per_hundred,people_vaccinated_per_hundred,new_cases_smoothed,reproduction_rate,total_vaccinations,new_vaccinations,diabetes_prevalence,people_fully_vaccinated_per_hundred,total_tests,people_vaccinated,tests_per_case,total_cases_per_million,new_people_vaccinated_smoothed,gdp_per_capita,total_cases,positive_rate,new_deaths,stringency_index,new_vaccinations_smoothed_per_million,total_deaths,new_tests,new_vaccinations_smoothed,new_cases
0.0,0.0,0.0,85.99799999999998,0.0,13.914,8.622,0.2,0.0,6.2,0.0,0.0,0.0,12.27,0.0,0.0,40.9,0.0,0.0,0.0,0.0,1.079908256880735,0.0,0.0,6.8,0.0,16.0,0.0,0.0,0.019,0.0,35938.374,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
0.0,0.0,0.0,85.99799999999998,0.0,13.914,8.622,0.2,0.0,6.2,0.0,0.0,0.0,12.27,0.0,0.0,40.9,0.0,0.0,0.0,0.0,1.079908256880735,0.0,0.0,6.8,0.0,0.0,0.0,0.0,0.019,0.0,35938.374,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,85.99799999999998,0.0,13.914,8.622,0.2,0.0,6.2,0.0,0.0,0.0,12.27,0.0,0.0,40.9,0.019,0.0,0.0,0.0,1.079908256880735,0.0,0.0,6.8,0.0,25.0,0.0,0.0,0.039,0.0,35938.374,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,85.99799999999998,0.0,13.914,8.622,0.2,0.0,6.2,0.0,0.0,0.0,12.27,0.0,0.0,40.9,0.0,0.0,0.0,0.0,1.079908256880735,0.0,0.0,6.8,0.0,0.0,0.0,0.0,0.039,0.0,35938.374,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,85.99799999999998,0.0,13.914,8.622,0.2,0.0,6.2,0.0,0.0,0.001,12.27,0.0,0.0,40.9,0.019,0.0,0.0,0.0,1.079908256880735,0.0,0.0,6.8,0.0,48.0,0.0,0.0,0.058,0.0,35938.374,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,85.99799999999998,0.0,13.914,8.622,0.2,0.0,6.2,0.0,0.0,0.001,12.27,0.0,0.0,40.9,0.019,0.0,0.0,0.0,1.079908256880735,0.0,0.0,6.8,0.0,57.0,0.0,0.0,0.078,0.0,35938.374,4.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0
0.003,25.0,0.0,85.99799999999998,0.0,13.914,8.622,0.2,0.0,6.2,0.0,0.0,0.004,12.27,0.0,0.008,40.9,0.0,0.0,0.0,0.429,1.079908256880735,0.0,0.0,6.8,0.0,187.0,0.0,58.3,0.078,0.0,35938.374,4.0,0.0172,0.0,0.0,0.0,0.0,130.0,0.0,0.0
0.0,28.0,0.0,85.99799999999998,0.0,13.914,8.622,0.2,0.0,6.2,0.001,0.0,0.0,12.27,0.0,0.008,40.9,0.0,0.0,0.0,0.429,1.079908256880735,0.0,0.0,6.8,0.0,0.0,0.0,65.3,0.078,0.0,35938.374,4.0,0.0153,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,32.0,0.0,85.99799999999998,0.0,13.914,8.622,0.2,0.0,6.2,0.001,0.0,0.005,12.27,0.0,0.008,40.9,0.0,0.0,0.0,0.429,1.079908256880735,0.0,0.0,6.8,0.0,244.0,0.0,74.6,0.078,0.0,35938.374,4.0,0.0134,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,40.0,0.0,85.99799999999998,0.0,13.914,8.622,0.2,0.0,6.2,0.001,0.0,0.0,12.27,0.0,0.025,40.9,0.136,0.0,0.0,1.286,1.079908256880735,0.0,0.0,6.8,0.0,0.0,0.0,31.1,0.214,0.0,35938.374,11.0,0.0322,0.0,2.78,0.0,0.0,0.0,0.0,7.0
