outcome,month,mmwr_week,age_group,vaccine_product,boosted_with_outcome,boosted_population,vaccinated_with_outcome,fully_vaccinated_population,unvaccinated_with_outcome,unvaccinated_population,crude_booster_ir,crude_vax_ir,crude_unvax_ir,crude_booster_irr,crude_irr,age_adj_booster_ir,age_adj_vax_ir,age_adj_unvax_ir,age_adj_booster_irr,age_adj_irr,continuity_correction
case,09 - SEP,202138,18-49,all_types,123,299803,42117,46694711,144745,31719506,41.02694103,90.19651069,456.3280399,11.12264352,5.059264892,,,,,,0
case,09 - SEP,202138,50-64,all_types,127,383885,22202,26596633,39565,8857107,33.08282428,83.47673181,446.7034213,13.50257818,5.351232752,,,,,,0
case,09 - SEP,202138,65+,all_types,230,879782,21218,25600335,20865,4572747.95,26.14283993,82.88172792,456.2901832,17.45373435,5.505316971,,,,,,1
case,09 - SEP,202138,all_ages,all_types,480,1563470,85537,98891679,205175,45149360.95,30.70094086,86.49564945,454.4361109,14.80202555,5.253860903,36.88764413,87.59338822,454.3770566,12.31786598,5.187344225,1
case,09 - SEP,202138,all_ages,Janssen,12,26188,8420,8395136,205175,45149360.95,45.82251413,100.2961715,454.4361109,9.917310727,4.530941751,48.76164987,99.46620752,454.3770566,9.31832819,4.568155034,1
case,09 - SEP,202138,all_ages,Moderna,175,691033,27522,39057618,205175,45149360.95,25.32440564,70.46512668,454.4361109,17.94459137,6.449092372,35.04998725,72.41705327,454.3770566,12.96368679,6.274448297,1
case,09 - SEP,202138,all_ages,Pfizer,293,842285,49468,51375844,205175,45149360.95,34.78632529,96.28649604,454.4361109,13.06364231,4.719624554,38.41000485,96.46244474,454.3770566,11.82965372,4.710403699,1
case,09 - SEP,202139,18-49,all_types,133,370091,40405,47516748,123512,31095175,35.93710736,85.03317609,397.206319,11.05281833,4.671192319,,,,,,0
case,09 - SEP,202139,50-64,all_types,144,467080,21369,26784211,34924,8681210,30.82983643,79.78207758,402.2941502,13.04885776,5.042412562,,,,,,0
case,09 - SEP,202139,65+,all_types,259,1112493,20192,25476167,18870,4423761.95,23.28104536,79.25839079,426.5600232,18.32220231,5.381891039,,,,,,1
case,09 - SEP,202139,all_ages,all_types,536,1949664,81966,99777126,177306,44200146.95,27.49191656,82.14908896,401.1434627,14.59132403,4.883115173,32.75032429,82.9889948,403.2322467,12.3123131,4.85886409,1
case,09 - SEP,202139,all_ages,Janssen,13,29912,7864,8463103,177306,44200146.95,43.4608184,92.92100073,401.1434627,9.230002505,4.317037694,42.41330905,92.37472548,403.2322467,9.507210253,4.365179377,1
case,09 - SEP,202139,all_ages,Moderna,190,813581,26656,39382187,177306,44200146.95,23.35354439,67.68542336,401.1434627,17.17698419,5.926585708,28.15839047,69.27756849,403.2322467,14.32014543,5.820531168,1
case,09 - SEP,202139,all_ages,Pfizer,332,1101463,47369,51868883,177306,44200146.95,30.14172968,91.32450375,401.1434627,13.30857476,4.392506351,34.78901372,91.24982085,403.2322467,11.59079271,4.418992201,1
case,10 - OCT,202140,18-49,all_types,174,450213,38691,48254081,109153,30556366,38.6483731,80.18181923,357.2185253,9.242782984,4.455106266,,,,,,0
case,10 - OCT,202140,50-64,all_types,154,560971,20342,26934979,31632,8527838,27.4523995,75.52261318,370.9263708,13.5116193,4.91146102,,,,,,0
case,10 - OCT,202140,65+,all_types,311,1431986,19361,25257566,17381,4307778.55,21.71808942,76.65425877,403.4794221,18.57803485,5.263626948,,,,,,1
case,10 - OCT,202140,all_ages,all_types,639,2443170,78394,100446626,158166,43391982.55,26.15454512,78.04542882,364.5051245,13.93658818,4.67042247,33.50367875,78.63985285,367.8647743,10.9798323,4.677841589,1
case,10 - OCT,202140,all_ages,Janssen,15,33149,7651,8526579,158166,43391982.55,45.25023379,89.73118058,364.5051245,8.055320247,4.062190223,41.76144708,89.73313144,367.8647743,8.808717129,4.099542369,1
case,10 - OCT,202140,all_ages,Moderna,218,934243,25872,39619967,158166,43391982.55,23.33440015,65.30040775,364.5051245,15.62093399,5.581973177,34.35489592,66.62579655,367.8647743,10.70778311,5.521356491,1
case,10 - OCT,202140,all_ages,Pfizer,404,1470391,44745,52237223,158166,43391982.55,27.47568504,85.65730992,364.5051245,13.26646174,4.255388417,32.6849089,85.39362766,367.8647743,11.25488143,4.307871492,1
case,10 - OCT,202141,18-49,all_types,180,699019,35238,48672571,93426,30083996,25.75037302,72.39806584,310.5505,12.06003889,4.28948614,,,,,,0
case,10 - OCT,202141,50-64,all_types,178,810700,18688,26884311,27738,8391623,21.95633403,69.51266112,330.5439246,15.05460448,4.755161423,,,,,,0
case,10 - OCT,202141,65+,all_types,437,2518317,17108,24284982,15735,4211228.55,17.35285907,70.44683006,373.6439334,21.53212516,5.303914074,,,,,,1
case,10 - OCT,202141,all_ages,all_types,795,4028036,71034,99841864,136899,42686847.55,19.73666571,71.14650824,320.705341,16.24921584,4.507675063,23.55400651,71.48287199,325.3327144,13.81220279,4.551198145,1
case,10 - OCT,202141,all_ages,Janssen,7,36408,7008,8585007,136899,42686847.55,19.22654362,81.63068475,320.705341,16.68034294,3.928735156,20.40080166,81.30451537,325.3327144,15.9470554,4.001410167,1
case,10 - OCT,202141,all_ages,Moderna,195,1035991,24079,39801639,136899,42686847.55,18.82255734,60.49750866,320.705341,17.03835113,5.301133024,22.21796448,61.39642159,325.3327144,14.64277768,5.298887231,1
case,10 - OCT,202141,all_ages,Pfizer,591,2948330,39844,51393739,136899,42686847.55,20.04524595,77.52695324,320.705341,15.99907239,4.136694757,24.14130853,77.32567447,325.3327144,13.47618395,4.207305227,1
case,10 - OCT,202142,18-49,all_types,211,1039110,33849,48927652,85258,29643962,20.30583865,69.18173797,287.6066296,14.16374052,4.157262279,,,,,,0
case,10 - OCT,202142,50-64,all_types,223,1163309,18179,26709039,25122,8256238,19.16945541,68.06310029,304.2790191,15.87311755,4.470543037,,,,,,0
case,10 - OCT,202142,65+,all_types,538,3627984,15634,23278909,14174,4110613.55,14.82917235,67.15950477,344.8147053,23.25245788,5.134265158,,,,,,1
case,10 - OCT,202142,all_ages,all_types,972,5830403,67662,98915600,124554,42010813.55,16.67123182,68.40377049,296.4808093,17.78397737,4.334275833,19.14374582,68.61140942,300.7157817,15.70830414,4.382883027,1
case,10 - OCT,202142,all_ages,Janssen,8,39844,6913,8638964,124554,42010813.55,20.07830539,80.02116921,296.4808093,14.76622671,3.705029709,19.16841665,79.48768689,300.7157817,15.68808667,3.783174395,1
case,10 - OCT,202142,all_ages,Moderna,198,1140067,23342,39906453,124554,42010813.55,17.36740034,58.4917933,296.4808093,17.07111044,5.068759096,19.65131794,58.94864715,300.7157817,15.30257577,5.101317779,1
case,10 - OCT,202142,all_ages,Pfizer,764,4640941,37212,50310300,124554,42010813.55,16.46217868,73.96497338,296.4808093,18.00981602,4.008394727,18.96560895,73.71071276,300.7157817,15.85584636,4.079675402,1
case,10 - OCT,202143,18-49,all_types,399,1396223,36938,49082210,88377,29193980,28.57709693,75.25740997,302.7233697,10.59321633,4.022505821,,,,,,0
case,10 - OCT,202143,50-64,all_types,316,1552331,19223,26471256,25790,8091051,20.35648325,72.6183903,318.7472184,15.65826545,4.389345688,,,,,,0
case,10 - OCT,202143,65+,all_types,720,4584307,15825,22409713,13981,3923378.55,15.70575444,70.61670089,356.3510332,22.68920189,5.046271331,,,,,,1
case,10 - OCT,202143,all_ages,all_types,1435,7532861,71986,97963179,128148,41208409.55,19.04986698,73.4827113,310.9753601,16.32427988,4.231952723,24.72464532,73.93406432,315.0918628,12.74403975,4.261795503,1
case,10 - OCT,202143,all_ages,Janssen,13,44812,7486,8690014,128148,41208409.55,29.01008658,86.14485546,310.9753601,10.71955988,3.609912147,35.04780331,85.75214849,315.0918628,8.990345559,3.67444861,1
case,10 - OCT,202143,all_ages,Moderna,262,1344563,25608,39897810,128148,41208409.55,19.48588501,64.18397401,310.9753601,15.95900623,4.845062415,27.86533578,65.03852467,315.0918628,11.30766431,4.84469573,1
case,10 - OCT,202143,all_ages,Pfizer,1158,6132473,38572,49316522,128148,41208409.55,18.88308355,78.2131392,310.9753601,16.46846286,3.97599896,24.09965377,78.12070325,315.0918628,13.07453899,4.033397674,1
case,11 - NOV,202144,18-49,all_types,646,1784424,43980,49151291,91671,28752576,36.20215823,89.47882976,318.8270853,8.806852985,3.563156627,,,,,,0
case,11 - NOV,202144,50-64,all_types,446,1992194,20421,26168490,26064,7932589,22.38737794,78.03660051,328.5686426,14.67651297,4.210442798,,,,,,0
case,11 - NOV,202144,65+,all_types,876,5525159,15167,21554626,13901,3770299.55,15.85474735,70.36540555,368.6974951,23.25470643,5.239755136,,,,,,1
case,11 - NOV,202144,all_ages,all_types,1968,9301777,79568,96874407,131636,40455464.55,21.1572477,82.13521245,325.3849671,15.3793618,3.961576982,29.94653871,83.91266373,329.2865779,10.99581428,3.924158325,1
case,11 - NOV,202144,all_ages,Janssen,19,73124,8809,8720202,131636,40455464.55,25.98326131,101.0183021,325.3849671,12.5228686,3.221049654,28.37011285,100.9062465,329.2865779,11.60681241,3.263292307,1
case,11 - NOV,202144,all_ages,Moderna,305,1716140,27781,39714176,131636,40455464.55,17.77244281,69.95235152,325.3849671,18.3083986,4.651522929,24.48421201,72.98904952,329.2865779,13.44893509,4.511451787,1
case,11 - NOV,202144,all_ages,Pfizer,1639,7500047,42678,48382328,131636,40455464.55,21.85319639,88.2098935,325.3849671,14.88958234,3.68875819,31.09966967,88.77944814,329.2865779,10.58810532,3.709040603,1
case,11 - NOV,202145,18-49,all_types,781,2455637,47934,48901293,99316,28346421,31.804375,98.02194801,350.3652189,11.01625858,3.574354785,,,,,,0
case,11 - NOV,202145,50-64,all_types,649,2804899,23151,25496653,28833,7779426,23.13808804,90.80015326,370.6314579,16.01824046,4.08183736,,,,,,0
case,11 - NOV,202145,65+,all_types,1179,7398534,15632,19821161,14897,3635336.15,15.9355894,78.86520875,409.7832879,25.7149753,5.195995729,,,,,,1
case,11 - NOV,202145,all_ages,all_types,2609,12659070,86717,94219107,143046,39761183.15,20.60972884,92.03759488,359.7629363,17.45597621,3.908869378,27.35151221,93.30109448,364.5767557,13.32930892,3.907529249,1
case,11 - NOV,202145,all_ages,Janssen,91,298238,9796,8563410,143046,39761183.15,30.51254367,114.393682,359.7629363,11.79065699,3.1449546,32.03742408,114.5184966,364.5767557,11.37971501,3.183562188,1
case,11 - NOV,202145,all_ages,Moderna,506,3517743,30211,38150935,143046,39761183.15,14.38422307,79.18809854,359.7629363,25.01093974,4.54314402,19.16272275,81.68342681,364.5767557,19.02531078,4.463289187,1
case,11 - NOV,202145,all_ages,Pfizer,2004,8827560,46503,47449733,143046,39761183.15,22.7016299,98.00476643,359.7629363,15.84744963,3.67087183,29.48112699,98.05729572,364.5767557,12.36644569,3.717997248,1
case,11 - NOV,202146,18-49,all_types,1235,3304496,51648,48441056,105040,27912726,37.3733241,106.6203016,376.3158066,10.06910184,3.529494862,,,,,,0
case,11 - NOV,202146,50-64,all_types,936,3752262,25484,24678257,31939,7607654,24.9449532,103.2649915,419.8271898,16.83014542,4.065532603,,,,,,0
case,11 - NOV,202146,65+,all_types,1596,9206012,16217,18125266,16907,3501138.15,17.33649706,89.47179037,482.9001106,27.85453768,5.397233124,,,,,,1
case,11 - NOV,202146,all_ages,all_types,3767,16262770,93349,91244579,153886,39021518.15,23.16333564,102.3063518,394.361899,17.02526377,3.854715685,31.45069425,103.0225612,403.254638,12.82180402,3.914236197,1
case,11 - NOV,202146,all_ages,Janssen,184,558578,10555,8380794,153886,39021518.15,32.94078893,125.9427209,394.361899,11.97184135,3.131279808,36.69289393,125.3511435,403.254638,10.98999274,3.217000074,1
case,11 - NOV,202146,all_ages,Moderna,920,5585492,31591,36298782,153886,39021518.15,16.47124372,87.03046841,394.361899,23.94244817,4.531308474,23.10957607,88.7388423,403.254638,17.449677,4.544285541,1
case,11 - NOV,202146,all_ages,Pfizer,2659,10099823,50949,46513103,153886,39021518.15,26.32719405,109.5368761,394.361899,14.97926054,3.600266075,34.5578278,109.2312954,403.254638,11.66898106,3.691750028,1
case,11 - NOV,202147,18-49,all_types,1457,4268195,46594,47819785,90686,27507008,34.1362098,97.43665723,329.6832574,9.657875299,3.383564942,,,,,,0
case,11 - NOV,202147,50-64,all_types,1036,4688062,22901,23855118,28489,7447047,22.09868385,96.00036353,382.5543199,17.31118118,3.984925742,,,,,,0
case,11 - NOV,202147,65+,all_types,1787,10649797,14281,16770614,15773,3415618.3,16.77966256,85.1549025,461.7904758,27.52084401,5.422946446,,,,,,1
